X,Y,OBJECTID,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PHONE_NUM,GLOBALID,WEBSITE
-82.907266232130169,40.055783209230526,5712754,4189 WEAVERTON LN,Zoup!,Retail - Restaurant,,,{C7C1E3A6-382A-4897-B87A-8B3CF5B660CF},
-82.906407520930216,40.056365045336001,5712755,4202 EASTON GATEWAY DR,Beauty Brands,Retail - Commercial/Retail,,,{2A4C55AD-88B7-4927-80D6-74C14239FF9F},
-82.906605779385842,40.056497507483058,5712757,4194 EASTON GATEWAY DR,Z Gallerie,Retail - Commercial/Retail,,,{20053114-50A0-41E3-8975-64056F36F55D},
-82.907840416429835,40.055803553955236,5712758,4171 WEAVERTON LN,Elements Massage,Retail - Services,,,{7FF887B2-808F-45BB-8F26-438184EA79AC},
-82.908163200698851,40.057032436392419,5712760,4138 SEWARD ST,Verizon Wireless,Retail - Commercial/Retail,,,{7732C6A1-4756-4608-9B13-27640480E49C},
-82.908349740976718,40.055283386580946,5712761,4150 WORTH AVE,REI,Retail - Department Store,,,{B0400E5A-5900-4919-8788-F4179F53DBC9},
-82.907096030615207,40.055777725250231,5712762,4199 WEAVERTON LN,European Wax Center,Retail - Services,,,{14A0E80B-5D9F-414F-817F-5C4BDE037396},
-82.907954974995533,39.986904892018742,5712765,659 N JAMES RD,Candle With A Cause,Retail - Commercial/Retail,,,{C7E818A1-CE67-44EB-BD73-765FE5ECD89D},
-82.90702076784892,39.986948741162003,5712767,703 N JAMES RD,Atlantic Heating and Cooling,Retail - Services,,,{554AF94A-8875-412B-A608-56F3892EC84E},
-82.908003229700853,39.986259804363087,5712768,641 N JAMES RD,DSS Services ,Retail - Services,,,{AAD915E5-03A7-450F-B7F7-D22853E11B99},
-82.906780529264864,39.98697530966777,5712769,711 N JAMES RD,Furniture Land East,Retail - Commercial/Retail,,,{E8EAC91B-63EA-4659-B710-BA6C2C4C4D1D},
-82.975498971806871,39.971637228558507,5712770,993 MT VERNON AVE,Dollar Plus,Retail - Commercial/Retail,Restaurant DB,,{C6F34B3D-91D8-4B3E-A698-7FE38CA93A52},
-82.906272406025181,39.988089847576646,5712771,717 N JAMES RD,Buckeye Beverage Systems,Retail - Commercial/Retail,,,{F5BE0D54-863A-4D0A-A3AA-25281CF9BFCC},
-82.907703754428752,39.986284981114636,5712772,695 N JAMES RD,Sims Bros Recycling,Retail - Services,,,{CDE2A27A-62B1-44BF-9090-FD957E99129F},
-82.91454814713849,40.05098730791174,5712773,160 EASTON TOWN CENTER,Teavana,Retail - Commercial/Retail,,,{ECE361E9-8502-403D-8FEE-DEBBD7B3F070},
-82.907675949290109,39.986614495556701,5712774,687 N JAMES RD,Uprising Meadworks,Retail - Restaurant,,614-285-6384,{E1C238A4-C344-4242-9036-6F68E7E6BA25},
-82.998201485046337,39.950674096036579,5712776,560 S HIGH ST,Three Sheets,Retail - Restaurant,,,{170C6190-996A-4488-B126-A6FCC780F4FA},
-83.049115093792238,40.052089983301556,5712777,4516 KENNY RD  Unit B,FedEx Office Print & Ship Center,Retail - Services,,,{A68685B0-C3AF-4DB8-983C-69520BF7288A},
-83.007837621409251,39.968524596904487,5712780,220 W NATIONWIDE BLVD,Nada,Retail - Restaurant,,,{479F678F-0E59-4659-A437-05156B54EE86},
-82.906904017436176,40.055218120359562,5712783,4206 WORTH AVE,Melt Bar & Grill,Retail - Restaurant,CBLD1707961,,{CB5D5E35-8A6E-4F9A-8EFF-B9232378F83C},
-82.966317437000697,40.059760427669858,5712784,1959 MORSE RD,Dollar General,Retail - Commercial/Retail,,,{6B4DCAAC-7B77-4466-B8C8-A52E5B8C9AEE},
-82.98877866278572,39.987318007673302,5712785,1125 CLEVELAND AVE,Cleveland Ave Body Shop,Retail - Services,,,{A3052662-7CEF-42BB-9099-C9418996C866},
-82.99611514559308,40.09660856524156,5712786,780 BUSCH CT,Astartes Drapery Workroom,Retail - Commercial/Retail,,,{5CEB2980-45EE-440B-B63B-80C75E74A8AE},
-83.027125459116576,39.991837848679417,5712787,1547 LENNOX TOWN LN,Nothing Bundt Cakes,Retail - Restaurant,Restaurant DB,,{9310E392-A869-404E-B470-DB5F46A89BD0},
-83.003603167767437,39.976588396759936,5712788,693 N HIGH ST,Mac's Scottish Pub,Retail - Restaurant,,,{6AFAD91D-A3B9-440D-9C5E-29264F87342F},
-82.916012228408903,40.050727522176942,5712789,157 EASTON TOWN CENTER A100  Unit A100,Kitchen Den Bar,Retail - Restaurant,,,{C437F13F-CC67-4768-870B-35DA1E58D59A},
-83.153447482224152,39.982306941287661,5712790,5526 RENNER RD,Goodwill,Retail - Commercial/Retail,,,{583F7380-4C43-4B06-A1E9-9A95FBAF7647},
-82.862617845029632,40.058874501742267,5712791,5010 N HAMILTON RD,PizzaRev,Retail - Restaurant,,,{AC25594F-6CD0-4F21-B6F9-5D761AF8809A},
-82.862630501058987,40.058685261793165,5712792,5004 N HAMILTON RD,Five Guys ,Retail - Restaurant,,6148553500,{3BBA2241-4942-4C2B-A08F-002E20C3E30F},
-82.862646598074576,40.058442635440983,5712793,4994 N HAMILTON RD,Firehouse Subs,Retail - Restaurant,,614-855-2444,{934F47BA-EB84-41D2-8576-D29FE035EA99},
-82.915109082436587,40.050130481067931,5712794,98 EASTON TOWN CENTER C110  Unit C110,Bink Davies,Retail - Commercial/Retail,,,{D1239827-A05E-40A4-9B38-72E4CC2EDC64},
-82.936930903964949,39.947318997550127,5712797,1047 COLLEGE AVE,LB Sslon Suites,Retail - Restaurant,,6149461346,{5B89EDA4-A5E7-4CF3-87B8-29EB26DACC25},
-83.016288198530447,40.1344593450874,5712799,8402 N HIGH ST,Goo Goo Car Wash,Retail - Services,,,{48115525-A057-44D8-A676-435E890CCFCA},
